PC1	PC2	Batch	Group
-69.3764311715509	39.3918880756847	GSE78097	PP
-71.0515851182269	32.0877381572586	GSE78097	PP
-62.3229408353395	9.54725930551574	GSE78097	PP
-118.292576933556	-7.57570636040078	GSE78097	PP
-59.567915508337	15.7492403729206	GSE78097	PP
-34.5983008418937	64.3913873444222	GSE78097	PP
-23.0882791276175	55.2513570849526	GSE78097	PP
-80.2683474896044	2.12946274449419	GSE78097	PP
-47.3208155510802	29.4269251949771	GSE78097	PP
-93.9460603447235	-6.92427460533145	GSE78097	PP
-60.9682671830061	20.3049407624712	GSE78097	PP
-11.8850283625024	35.0514693747784	GSE78097	PP
10.3675195954789	33.8610038122348	GSE78097	PP
-0.0498877701148429	49.6402564771161	GSE78097	PP
16.3761586703674	18.8713562000842	GSE78097	PP
-35.1893108627022	15.397197228986	GSE78097	PP
-5.25783392558777	61.2875704169459	GSE78097	PP
-2.65608946706204	41.9521843285694	GSE78097	PP
-38.2144302219825	13.1089181400731	GSE78097	PP
-68.8404737381373	-3.07674978387631	GSE78097	PP
-36.8334409146368	-4.78283254406163	GSE78097	PP
-22.3086735580377	28.335466794512	GSE78097	PP
-43.3812590191324	43.7729284063987	GSE78097	PP
-9.23301573847131	16.220677092198	GSE78097	PP
-44.9592453057912	9.55077162056963	GSE78097	PP
36.1679673932447	-34.8438928392189	GSE78097	NN
75.1688238886395	-19.6274052901804	GSE78097	NN
37.0093669845099	-80.7887055556202	GSE78097	NN
15.8211207440127	-59.1227919153756	GSE78097	NN
67.9614560697813	-32.7791571943654	GSE78097	NN
30.6435210150126	-125.918971737239	GSE78097	NN
