"sample","PC1","PC2","PC3","group","database"
"GSE14905|GSM372305",-63.6856228631911,-20.0152022687064,12.9951363176475,"NN","GSE14905"
"GSE14905|GSM372306",-48.4666651984806,-24.4289427198269,12.8623000616986,"NN","GSE14905"
"GSE14905|GSM372308",3.96483085012601,-7.42412574721952,-4.32412223201917,"PP","GSE14905"
"GSE14905|GSM372310",10.0004092398851,-5.57471629921182,-13.5793090579093,"PP","GSE14905"
"GSE14905|GSM372312",3.58659121797164,4.48780142154927,13.3842050669112,"PP","GSE14905"
"GSE14905|GSM372314",0.318606941009398,-12.3689550796489,-15.8994335698569,"PP","GSE14905"
"GSE14905|GSM372316",49.7146276547443,-11.2337437562359,1.4642147936031,"PP","GSE14905"
"GSE14905|GSM372318",42.2964149073832,-1.82239480077029,-3.90643780951647,"PP","GSE14905"
"GSE14905|GSM372320",55.2736580043186,-5.80728833313594,13.9812799666367,"PP","GSE14905"
"GSE14905|GSM372322",49.5638891619666,-9.65435337747413,-8.74093391921919,"PP","GSE14905"
"GSE14905|GSM372324",16.1372817438024,-16.4400454821703,0.602207293834394,"PP","GSE14905"
"GSE14905|GSM372325",-1.5308291990898,-22.4786489569018,0.0704587568973417,"PP","GSE14905"
"GSE14905|GSM372327",45.7848754280618,-3.32183658960559,-7.90093573288668,"PP","GSE14905"
"GSE14905|GSM372329",44.3142962970963,-7.6591588598573,-9.66618206606265,"PP","GSE14905"
"GSE14905|GSM372331",7.32072582432184,-22.0795845840202,-11.7109866271647,"PP","GSE14905"
"GSE14905|GSM372333",-10.4409799774711,-19.7625070640373,1.91331547419766,"PP","GSE14905"
"GSE14905|GSM372334",51.9674044298771,-4.17694217540465,18.740123313339,"PP","GSE14905"
"GSE14905|GSM372336",32.6996544207875,-5.55493567760571,-15.7659203222845,"PP","GSE14905"
"GSE14905|GSM372338",73.8410315786121,3.37611941059586,19.5663965118137,"PP","GSE14905"
"GSE14905|GSM372340",61.3800162190654,-1.20482651048534,3.69282882388409,"PP","GSE14905"
"GSE14905|GSM372342",49.2231087215088,-0.3545698195263,-4.73804551533843,"PP","GSE14905"
"GSE14905|GSM372344",53.4028904175294,11.0506629458056,-7.52018503006907,"PP","GSE14905"
"GSE14905|GSM372346",47.4431566073746,-13.5310240789081,2.74340417046541,"PP","GSE14905"
"GSE14905|GSM372348",29.3845286447702,-2.9758236874274,-23.9299666500653,"PP","GSE14905"
"GSE14905|GSM372350",16.2877523923055,66.1481426528037,-10.7648544978203,"PP","GSE14905"
"GSE14905|GSM372352",-18.9866525826219,4.99308147428169,-6.39607709202388,"PP","GSE14905"
"GSE14905|GSM372354",49.9940917617942,-7.60424461624539,12.9517257973975,"PP","GSE14905"
"GSE14905|GSM372356",22.4729103066201,-14.1555092603305,-13.74558488575,"PP","GSE14905"
"GSE14905|GSM372358",41.8191887188711,-6.1377844663063,-23.5751793904432,"PP","GSE14905"
"GSE14905|GSM372360",40.5488393539801,-6.19846714647309,-13.2420562296743,"PP","GSE14905"
"GSE14905|GSM372362",48.3580332317874,-4.15476709911174,-1.85058812988636,"PP","GSE14905"
"GSE14905|GSM372364",30.5280099424332,-8.21864805976663,-14.8244935738693,"PP","GSE14905"
"GSE14905|GSM372365",15.7830432607862,-5.76679180507477,-2.99397368439774,"PP","GSE14905"
"GSE14905|GSM372366",47.6384008263173,-8.57864712959308,20.6741967970149,"PP","GSE14905"
"GSE14905|GSM372367",14.2830222518248,-23.4709619502038,-0.732394879257098,"PP","GSE14905"
"GSE78097|GSM2066635",29.8867743201958,10.8294834359677,-3.11519968816312,"PP","GSE78097"
"GSE78097|GSM2066636",26.0149117775423,2.9713461920893,10.5834222324236,"PP","GSE78097"
"GSE78097|GSM2066637",37.4815047979553,0.261367963392145,-8.81873560438434,"PP","GSE78097"
"GSE78097|GSM2066638",41.1644610949755,2.38740182095272,-10.261530675919,"PP","GSE78097"
"GSE78097|GSM2066639",23.4025685652954,14.7802416098695,9.9004486886159,"PP","GSE78097"
"GSE78097|GSM2066640",59.5438787086243,-6.60867062963933,23.7747830709303,"PP","GSE78097"
"GSE78097|GSM2066641",25.9342868370908,-8.23777369804313,-2.81493421823942,"PP","GSE78097"
"GSE78097|GSM2066642",28.7261003377592,7.51623311829731,-24.9331634446321,"PP","GSE78097"
"GSE78097|GSM2066643",10.8502585212111,0.562106216846169,-18.7320484376675,"PP","GSE78097"
"GSE78097|GSM2066644",37.2857176402045,-6.5003407834056,5.38871183167284,"PP","GSE78097"
"GSE78097|GSM2066645",22.2277097408779,-7.30124657043689,-6.08814490086503,"PP","GSE78097"
"GSE78097|GSM2066646",45.1828688508338,-5.41145865839743,16.3334645886941,"PP","GSE78097"
"GSE78097|GSM2066647",31.4236075719969,1.88294100855997,-4.00438021644631,"PP","GSE78097"
"GSE78097|GSM2066648",-0.312624224584251,2.4810025749037,-11.6945785809872,"PP","GSE78097"
"GSE78097|GSM2066649",-11.542271749387,6.43172919687354,-10.5300857031235,"PP","GSE78097"
"GSE78097|GSM2066650",-2.52799158164896,9.08072882067703,-19.793402352421,"PP","GSE78097"
"GSE78097|GSM2066651",-22.2944439782531,-5.96253620425639,-19.8213764339186,"PP","GSE78097"
"GSE78097|GSM2066652",11.1537769418626,5.11002730068377,-10.4133333456852,"PP","GSE78097"
"GSE78097|GSM2066653",4.99967592216808,6.75047398016311,-24.5025896539588,"PP","GSE78097"
"GSE78097|GSM2066654",1.09668929386249,1.96025927873586,-25.881459135907,"PP","GSE78097"
"GSE78097|GSM2066655",16.067927578692,0.369501663243163,-1.49524411300447,"PP","GSE78097"
"GSE78097|GSM2066656",26.4726222630235,-4.90728318522274,12.7757951901404,"PP","GSE78097"
